year,continent,voting
1900,Africa,0
1900,Americas,0
1900,Asia,0
1900,Europe,0
1900,Oceania,20
1901,Africa,0
1901,Americas,0
1901,Asia,0
1901,Europe,0
1901,Oceania,33.333333333333336
1902,Africa,0
1902,Americas,0
1902,Asia,0
1902,Europe,0
1902,Oceania,33.333333333333336
1903,Africa,0
1903,Americas,3.7037037037037037
1903,Asia,0
1903,Europe,0
1903,Oceania,33.333333333333336
1904,Africa,0
1904,Americas,0
1904,Asia,0
1904,Europe,0
1904,Oceania,33.333333333333336
1905,Africa,0
1905,Americas,0
1905,Asia,0
1905,Europe,0
1905,Oceania,33.333333333333336
1906,Africa,0
1906,Americas,0
1906,Asia,0
1906,Europe,0
1906,Oceania,33.333333333333336
1907,Africa,0
1907,Americas,0
1907,Asia,0
1907,Europe,4.545454545454546
1907,Oceania,33.333333333333336
1908,Africa,0
1908,Americas,0
1908,Asia,0
1908,Europe,4.545454545454546
1908,Oceania,33.333333333333336
1909,Africa,0
1909,Americas,0
1909,Asia,0
1909,Europe,6.363636363636363
1909,Oceania,33.333333333333336
1910,Africa,0
1910,Americas,0
1910,Asia,0
1910,Europe,6.363636363636363
1910,Oceania,33.333333333333336
1911,Africa,0
1911,Americas,0
1911,Asia,0
1911,Europe,6.363636363636363
1911,Oceania,33.333333333333336
1912,Africa,0
1912,Americas,0
1912,Asia,0
1912,Europe,6.086956521739131
1912,Oceania,33.333333333333336
1913,Africa,0
1913,Americas,0
1913,Asia,0
1913,Europe,6.086956521739131
1913,Oceania,33.333333333333336
1914,Africa,0
1914,Americas,0
1914,Asia,0
1914,Europe,6.086956521739131
1914,Oceania,33.333333333333336
1915,Africa,0
1915,Americas,0
1915,Asia,0
1915,Europe,8.695652173913043
1915,Oceania,33.333333333333336
1916,Africa,0
1916,Americas,0
1916,Asia,0
1916,Europe,10.565217391304348
1916,Oceania,33.333333333333336
1917,Africa,0
1917,Americas,0
1917,Asia,0
1917,Europe,14.91304347826087
1917,Oceania,33.333333333333336
1918,Africa,0
1918,Americas,0
1918,Asia,0
1918,Europe,18.678571428571427
1918,Oceania,33.333333333333336
1919,Africa,0
1919,Americas,0
1919,Asia,0
1919,Europe,29.276793103448277
1919,Oceania,33.333333333333336
1920,Africa,0.10204081632653061
1920,Americas,3.6296296296296298
1920,Asia,0
1920,Europe,46.43333333333333
1920,Oceania,33.333333333333336
1921,Africa,0.12244897959183673
1921,Americas,6.407407407407407
1921,Asia,0
1921,Europe,56.43333333333333
1921,Oceania,33.333333333333336
1922,Africa,0.12
1922,Americas,6.407407407407407
1922,Asia,0
1922,Europe,59.766666666666666
1922,Oceania,33.333333333333336
1923,Africa,0.12
1923,Americas,6.407407407407407
1923,Asia,0.5151515151515151
1923,Europe,59.766666666666666
1923,Oceania,33.333333333333336
1924,Africa,0.14
1924,Americas,6.407407407407407
1924,Asia,3.5454545454545454
1924,Europe,56.43333333333333
1924,Oceania,33.333333333333336
1925,Africa,0.14
1925,Americas,6.851851851851852
1925,Asia,3.5454545454545454
1925,Europe,59.766666666666666
1925,Oceania,33.333333333333336
1926,Africa,0.34
1926,Americas,6.851851851851852
1926,Asia,3.5454545454545454
1926,Europe,60.1
1926,Oceania,33.333333333333336
1927,Africa,0.34
1927,Americas,6.851851851851852
1927,Asia,3.5454545454545454
1927,Europe,61.5
1927,Oceania,33.333333333333336
1928,Africa,0.34
1928,Americas,6.851851851851852
1928,Asia,3.5454545454545454
1928,Europe,58.166666666666664
1928,Oceania,33.333333333333336
1929,Africa,0.34
1929,Americas,6.851851851851852
1929,Asia,3.5454545454545454
1929,Europe,58.833333333333336
1929,Oceania,33.333333333333336
1930,Africa,0.34
1930,Americas,7.074074074074074
1930,Asia,3.5454545454545454
1930,Europe,58.833333333333336
1930,Oceania,33.333333333333336
1931,Africa,0.34
1931,Americas,7.814814814814815
1931,Asia,6.575757575757576
1931,Europe,55.833333333333336
1931,Oceania,33.333333333333336
1932,Africa,0.3469387755102041
1932,Americas,7.814814814814815
1932,Asia,9.323529411764707
1932,Europe,55.833333333333336
1932,Oceania,33.333333333333336
1933,Africa,0.7551020408163265
1933,Americas,9.185185185185185
1933,Asia,12.264705882352942
1933,Europe,61.206896551724135
1933,Oceania,33.333333333333336
1934,Africa,0.74
1934,Americas,9.185185185185185
1934,Asia,12.264705882352942
1934,Europe,54.827586206896555
1934,Oceania,33.333333333333336
1935,Africa,0.74
1935,Americas,8.444444444444445
1935,Asia,15.205882352941176
1935,Europe,52
