region,abbr,id,year,voting,continent
Sudan,SDN,33,1902,0,Africa
Sudan,SDN,33,1903,0,Africa
Sudan,SDN,33,1904,0,Africa
Sudan,SDN,33,1905,0,Africa
Sudan,SDN,33,1906,0,Africa
Sudan,SDN,33,1907,0,Africa
Sudan,SDN,33,1908,0,Africa
Sudan,SDN,33,1909,0,Africa
Sudan,SDN,33,1910,0,Africa
Sudan,SDN,33,1911,0,Africa
Sudan,SDN,33,1912,0,Africa
Sudan,SDN,33,1913,0,Africa
Sudan,SDN,33,1914,0,Africa
Sudan,SDN,33,1915,0,Africa
Sudan,SDN,33,1916,0,Africa
Sudan,SDN,33,1917,0,Africa
Sudan,SDN,33,1918,0,Africa
Sudan,SDN,33,1919,0,Africa
Sudan,SDN,33,1920,0,Africa
Sudan,SDN,33,1921,0,Africa
Sudan,SDN,33,1922,0,Africa
Sudan,SDN,33,1923,0,Africa
Sudan,SDN,33,1924,0,Africa
Sudan,SDN,33,1925,0,Africa
Sudan,SDN,33,1926,0,Africa
